,PrimaryRef,long,lat,Coordinates.Source,Longitude,Latitude,Potential error,,,,,
1,"?irovi?, D., Penezi?, A., Milenkovi?, M., & Paunovi?, M. (2014). Winter diet composition of the golden jackal (Canis aureus L., 1758) in Serbia.·Mammalian Biology-Zeitschrift f?r S?ugetierkunde,·79(2), 132-137.",22.5321,44.2258,GoogleMaps,,,Golden jackal - range map is not there,,,,,
2,"?irovi?, D., Penezi?, A., Milenkovi?, M., & Paunovi?, M. (2014). Winter diet composition of the golden jackal (Canis aureus L., 1758) in Serbia.·Mammalian Biology-Zeitschrift f?r S?ugetierkunde,·79(2), 132-137.",20.7671,44.1383,GoogleMaps,,,Golden jackal - range map is not there,,,,,
3,"?irovi?, D., Penezi?, A., Milenkovi?, M., & Paunovi?, M. (2014). Winter diet composition of the golden jackal (Canis aureus L., 1758) in Serbia.·Mammalian Biology-Zeitschrift f?r S?ugetierkunde,·79(2), 132-137.",20.933,44.6643,GoogleMaps,,,Golden jackal - range map is not there,,,,,
4,"?irovi?, D., Penezi?, A., Milenkovi?, M., & Paunovi?, M. (2014). Winter diet composition of the golden jackal (Canis aureus L., 1758) in Serbia.·Mammalian Biology-Zeitschrift f?r S?ugetierkunde,·79(2), 132-137.",20.2625,44.79,GoogleMaps,,,Golden jackal - range map is not there,,,,,
5,"?irovi?, D., Penezi?, A., Milenkovi?, M., & Paunovi?, M. (2014). Winter diet composition of the golden jackal (Canis aureus L., 1758) in Serbia.·Mammalian Biology-Zeitschrift f?r S?ugetierkunde,·79(2), 132-137.",21.201,44.2483,GoogleMaps,,,Golden jackal - range map is not there,,,,,
6,"?irovi?, D., Penezi?, A., Milenkovi?, M., & Paunovi?, M. (2014). Winter diet composition of the golden jackal (Canis aureus L., 1758) in Serbia.·Mammalian Biology-Zeitschrift f?r S?ugetierkunde,·79(2), 132-137.",21.0775,44.335,GoogleMaps,,,Golden jackal - range map is not there,,,,,
7,"?irovi?, D., Penezi?, A., Milenkovi?, M., & Paunovi?, M. (2014). Winter diet composition of the golden jackal (Canis aureus L., 1758) in Serbia.·Mammalian Biology-Zeitschrift f?r S?ugetierkunde,·79(2), 132-137.",21.5061,44.7468,GoogleMaps,,,Golden jackal - range map is not there,,,,,
8,"Aleksandra, P., & Du‹ko, ?. (2015). Seasonal variation in diet of the golden jackal (Canis aureus) in Serbia.·Mammal Research,·60(4), 309-317.",20.2625,44.79,GoogleMaps,,,Golden jackal - range map is not there,,,,,
9,"Aleksandra, P., & Du‹ko, ?. (2015). Seasonal variation in diet of the golden jackal (Canis aureus) in Serbia.·Mammal Research,·60(4), 309-317.",21.5061,44.7468,GoogleMaps,,,Golden jackal - range map is not there,,,,,
10,"Aleksandra, P., & Du‹ko, ?. (2015). Seasonal variation in diet of the golden jackal (Canis aureus) in Serbia.·Mammal Research,·60(4), 309-317.",19.7366,45.0286,GoogleMaps,,,Golden jackal - range map is not there,,,,,
15,"Amroun, M., Giraudoux, P., & Delattre, P. (2006). A comparative study of the diets of two sympatric carnivores˚the golden jackal (Canis aureus) and the common genet (Genetta genetta)˚in Kabylia, Algeria/Etude comparative des r?gimes alimentaires de deux carnivores sympatriques˚le chacal dor? (Canis aureus) et la genette commune (Genetta genetta)˚en Kabylie, Alg?rie.·Mammalia,·70(3/4), 247-254.",4.183333334,36.68333334,Reported,4' 10' ñ4'12'E,36'40'ñ36'42'N,Golden jackal - range map is not there,,,,,
16,"Amroun, M., Giraudoux, P., & Delattre, P. (2006). A comparative study of the diets of two sympatric carnivores˚the golden jackal (Canis aureus) and the common genet (Genetta genetta)˚in Kabylia, Algeria/Etude comparative des r?gimes alimentaires de deux carnivores sympatriques˚le chacal dor? (Canis aureus) et la genette commune (Genetta genetta)˚en Kabylie, Alg?rie.·Mammalia,·70(3/4), 247-254.",4.408333334,36.74166667,Reported,4'22'ñ4'27'E,36'42'ñ36'47'N,Golden jackal - range map is not there,,,,,
17,"Borkowski, J., Zalewski, A., & Manor, R. (2011, April). Diet composition of golden jackals in Israel. In·Annales Zoologici Fennici·(Vol. 48, No. 2, pp. 108-118). Finnish Zoological and Botanical Publishing.",34.83333333,31.66666667,Reported,34∞50¥E,31∞40¥N,Golden jackal - range map is not there,,,,,
18,"Giannatos, G., Karypidou, A., Legakis, A., & Polymeni, R. (2010). Golden jackal (Canis aureus L.) diet in Southern Greece.·Mammalian Biology-Zeitschrift f?r S?ugetierkunde,·75(3), 227-232.",24.36958334,38.04083334,Reported,21'49'39'E,38'23'30'N,Golden jackal - range map is not there,,,,,
19,"Jaeger, M. M., Haque, E., Sultana, P., & Bruggers, R. L. (2007). Daytime cover, diet and space-use of golden jackals (Canis aureus) in agro-ecosystems of Bangladesh.",89.06666667,24.13333333,Reported,89'55'E,24'15'N,Golden jackal - range map is not there,,,,,
20,"Jaeger, M. M., Haque, E., Sultana, P., & Bruggers, R. L. (2007). Daytime cover, diet and space-use of golden jackals (Canis aureus) in agro-ecosystems of Bangladesh.",89.91666667,24.25,Reported,89'04'E,24'08'N,Golden jackal - range map is not there,,,,,
21,"Lanszki, J., & Heltai, M. (2002). Feeding habits of golden jackal and red fox in south-western Hungary during winter and spring.·Mammalian Biology-Zeitschrift f?r S?ugetierkunde,·67(3), 129-136.",17.53,46.2421,GoogleMaps,,,Golden jackal - range map is not there,,,,,
22,"Lanszki, J., Giannatos, G., Heltai, M., & Legakis, A. (2009). Diet composition of golden jackals during cub-rearing season in Mediterranean marshland in Greece.·Mammalian Biology-Zeitschrift f?r S?ugetierkunde,·74(1), 72-75.",24.8,40.85,Reported,24'48'E,40'51'N,Golden jackal - range map is not there,,,,,
23,"Lanszki, J., Kurys, A., Heltai, M., Csﬂnyi, S., & ?cs, K. (2015, August). Diet composition of the golden jackal in an area of intensive big game management. In·Annales Zoologici Fennici(Vol. 52, No. 4, pp. 243-255). Finnish Zoological and Botanical Publishing.",17.5,46.18333333,Reported,17∞30¥E,46∞11¥N,Golden jackal - range map is not there,,,,,
24,"Lanszki, Jozsef, et al. ""Diet composition of the golden jackal and the sympatric red fox in an agricultural area (Hungary).""·Folia Zoologica·65.4 (2016): 310-322.",17.93333333,45.85,Reported,17∞56? E,45∞51? N,Golden jackal - range map is not there,,,,,
29,"Lanszki, JÛzsef, Matthew W. Hayward, and Nikolett Nagyap·ti. ""Feeding responses of the golden jackal after reduction of anthropogenic food subsidies.""†PloS one†13.12 (2018): e0208727.",17.5,46.18333333,Reported,17?30í E,46?11í N,Golden jackal - range map is not there,,,,,
31,"Mahmood, T., Niazi, F., & Nadeem, M. S. (2013). DIET COMPOSITION OF ASIATIC JACKAL (Canis aureus IN MARGALLAH HILLS NATIONAL PARK, ISLAMABAD, PAKISTAN.·Journal of Aminal & Plant Sciences,·23, 444-456.",73.08333334,33.73333333,Reported,073∫ 03'.819 E,33∫ 44'.272 N,Golden jackal - range map is not there,,,,,
35,"Mahmood, T., Niazi, F., & Nadeem, M. S. (2013). DIET COMPOSITION OF ASIATIC JACKAL (Canis aureus IN MARGALLAH HILLS NATIONAL PARK, ISLAMABAD, PAKISTAN.·Journal of Aminal & Plant Sciences,·23, 444-456.",73.11666667,33.73333333,Reported,073∫ 05'.382E,33∫44'.273 N,Golden jackal - range map is not there,,,,,
36,"Mahmood, T., Niazi, F., & Nadeem, M. S. (2013). DIET COMPOSITION OF ASIATIC JACKAL (Canis aureus IN MARGALLAH HILLS NATIONAL PARK, ISLAMABAD, PAKISTAN.·Journal of Aminal & Plant Sciences,·23, 444-456.",73.05,33.73333333,Reported,073∫ 07'.673 E,33∫ 44'.995 N,Golden jackal - range map is not there,,,,,
38,"Mahmood, T., Niazi, F., & Nadeem, M. S. (2013). DIET COMPOSITION OF ASIATIC JACKAL (Canis aureus IN MARGALLAH HILLS NATIONAL PARK, ISLAMABAD, PAKISTAN.·Journal of Aminal & Plant Sciences,·23, 444-456.",73.08333333,33.73333333,Reported,073∫ 03'.819 E,33∫ 44'.272 N,Golden jackal - range map is not there,,,,,
39,"Markov, G., & Lanszki, J. (2012). Diet composition of the golden jackal, Canis aureus in an agricultural environment.·Folia Zoologica,·61(1), 44-48.",24,42,Reported,24,42,Golden jackal - range map is not there,,,,,
40,"Mukherjee, S., Goyal, S. P., Johnsingh, A. J. T., & Pitman, M. L. (2004). The importance of rodents in the diet of jungle cat (Felis chaus), caracal (Caracal caracal) and golden jackal (Canis aureus) in Sariska Tiger Reserve, Rajasthan, India.·Journal of Zoology,·262(4), 405-411.",26.31666667,75.425,Reported,25?5? to 27?33?E,74?17? to 76?34?N,Golden jackal - range map is not there,,,,,
41,"Nadeem, M. S., Naz, R., Shah, S. I., Beg, M. A., Kayani, A. R., Mushtaq, M., & Mahmood, T. (2012). Season-and locality-related changes in the diet of Asiatic jackal (Canis aureus) in Potohar, Pakistan.·Turkish Journal of Zoology,·36(6), 798-805.",72.7364,33.5133,GoogleMaps,,,Golden jackal - range map is not there,,,,,
46,"Raichev, E. G., Tsunoda, H., Newman, C., Masuda, R., Georgiev, D. M., & Kaneko, Y. (2013). The Reliance of the golden jackal (Canis aureus) on anthropogenic foods in winter in Central Bulgaria.·Mammal study,·38(1), 19-27.",25.59166667,42.65,Reported,25∞16ñ56'E,42∞24ñ34'N,Golden jackal - range map is not there,,,,,
47,"Raichev, E. G., Tsunoda, H., Newman, C., Masuda, R., Georgiev, D. M., & Kaneko, Y. (2013). The Reliance of the golden jackal (Canis aureus) on anthropogenic foods in winter in Central Bulgaria.·Mammal study,·38(1), 19-27.",25.6,42.48333334,Reported,25∞25ñ46'E,42∞36ñ42'N,Golden jackal - range map is not there,,,,,
48,"Shabbir, S., Anwar, M., Hussain, I., & Nawaz. (2013). Food habits and diet overlap of two sympatric carnivore species in Chitral, Pakistan.·Journal of Animal and Plant Sciences,·23(1), 100-106.",71.66666667,35.93333333,Reported,71'40oE,35o 56'N,Golden jackal - range map is not there,,,,,
49,"Singh, A., Mukherjee, A., Dookia, S., & Kumara, H. N. (2016). High resource availability and lack of competition have increased population of a meso-carnivore˘a case study of Golden Jackal in Keoladeo National Park, India.·Mammal Research,·61(3), 209-219.",77.51763889,27.15944445,Reported,77∞ 29.5?ñ77∞ 33.2? E,27∞ 7.6?ñ27∞ 12.2? N,Golden jackal - range map is not there,,,,,
50,"Tsunoda, H., et al. (2017). ""Food niche segregation between sympatric golden jackals and red foxes in central Bulgaria."" Journal of Zoology 303(1): 64-71.",25.6,42.48333334,Reported,25'16-25'46E,42'24-42'42'N,Golden jackal - range map is not there,,,,,
52,"?lvarez-Casta±eda, S. T., & Gonzﬂlez-Quintero, P. (2005). Winter˚spring food habits of an island population of Coyote Canis Latrans in Baja California, M?xico.·Journal of arid environments,·60(3), 397-404.",-114.3333333,29.8,Reported,114' 20'W,29'48'N,Coyotes are mostly fine,,,,,
53,"Dumond, M., Villard, M. A., & Tremblay, ?. (2001). Does coyote diet vary seasonally between a protected and an unprotected forest landscape?.·Ecoscience,·8(3), 301-310.",-65,46.83333333,Reported,65∞ 00íW,46∞ 50íN,Coyotes are mostly fine,,,,,
63,"Rose, M. D., & Polis, G. A. (1998). The distribution and abundance of coyotes: the effects of allochthonous food subsidies from the sea.·Ecology,·79(3), 998-1007.",-113.5,28.91666667,Reported,113' 24' 10'' - 116' 26' 24'' W,28' 00' 32' - 34' 09' 30'' N,Coyotes are mostly fine,,,,,
65,"Dellinger, Justin A., et al. ""Food habits of red wolves during pup-rearing season.""·Southeastern Naturalist·10.4 (2011): 731-740.",-117.9019,46.3203,GoogleMaps,,,Coyotes are mostly fine,,,,,
66,"Dellinger, Justin A., et al. ""Food habits of red wolves during pup-rearing season.""·Southeastern Naturalist·10.4 (2011): 731-740.",-120.1519,47.4742,GoogleMaps,,,Coyotes are mostly fine,,,,,
70,"Hinton, J. W., Ashley, A. K., Dellinger, J. A., Gittleman, J. L., van Manen, F. T., & Chamberlain, M. J. (2017). Using diets of Canis breeding pairs to assess resource partitioning between sympatric red wolves and coyotes.·Journal of Mammalogy,·98(2), 475-488.",-79.5207,35.5913,GoogleMaps,,,Coyotes are mostly fine,,,,,
72,"McVey, Justin M., et al. ""Diets of sympatric red wolves and coyotes in northeastern North Carolina.""·Journal of Mammalogy·94.5 (2013): 1141-1148.",-75.9872,36.2272,GoogleMaps,,,Coyotes are mostly fine,,,,,
73,"Xiong, Mengyin, et al. ""Molecular dietary analysis of two sympatric felids in the Mountains of Southwest China biodiversity hotspot and conservation implications.""†Scientific reports†7 (2017): 41909.",104.6509722,32.51861111,Reported,104∞32? 42? ñ104∞45? 25? E,32∞25? 52? ñ32∞36? 22? N,Just on outside of range,,,,,
74,"Abay, Gidey Yirga, et al. ""Peri-urban spotted hyena (Crocuta crocuta) in northern Ethiopia: diet, economic impact, and abundance.""·European Journal of Wildlife Research·57.4 (2011): 759-765.",48.375,13.55833334,Reported,56∞ 27? - 40∞ 18? E,12∞ 13? - 14∞ 54? N,Typo in paper,"39∞27'48.6""E","13∞29'58.8""N",39.4635,13.49967,
76,"Wentworth, Julia C., Craig J. Tambling, and Graham IH Kerley. ""Evidence for prey selection by spotted hyaena in the Eastern Cape, South Africa.""·Acta Theriologica·56.4 (2011): 389-392.",25.75,-33.5,Reported,25∞45?E,33∞30?S,"Outside range, but is reported in paper - incorrect range map?",,,,,
77,"Pavey, Chris R., et al. ""Trophic ecology of marsupial predators in arid Australia following reshaping of predator assemblages.""†Journal of Mammalogy†99.5 (2018): 1128-1136.",135.4833333,-25.68333333,Reported,135∞29?E,25∞41?S,Just outside ranges.,,,,,
78,"Chen, Xiaolin, Chris R. Dickman, and Michael B. Thompson. ""Diet of the mulgara, Dasycercus cristicauda (Marsupialia: Dasyuridae), in the Simpson Desert, central Australia.""†Wildlife Research†25.3 (1998): 233-242.",138.4666667,-23.76666667,Reported,138∞28'E,23∞46'S,Incorrect range map?,,,,,
81,"Gil-Delgado, JosÈ A., et al. ""Diet of the garden dormouse (Eliomys quercinus Linnaeus 1766) in orange groves: seasonal variation and use of available resources."" (2010): 147-151.",-0.25,19.85,Reported,0'15'W,39'42'N,Typo in CarniDIET,,,-0.25,39.7,
83,"Roberts, Peter D., et al. ""Diet of the South African large-spotted genetGenetta tigrina (Carnivora, Viverridae) in a coastal dune forest.""·Acta theriologica·52.1 (2007): 45-53.",28.96666667,-32.2,Reported,28∞58íE,32∞12íS,Just on outside of range,,,,,
84,"Widdows, Craig D., and Colleen T. Downs. ""A genet drive-through: are large spotted genets using urban areas for Ùfast foodˆ? a dietary analysis.""·Urban ecosystems·18.3 (2015): 907-920.",31.0282,-29.8568,GoogleMaps,,,,,,,,
85,"Cavallini, P., and P. Serafini. ""Winter diet of the small Indian mongoose, Herpestes auropunctatus, on an Adriatic island.""·Journal of mammalogy·76.2 (1995): 569-574.",17.16666667,42.91666667,Reported,17' 10'E,42' 55'N,Introduced range,,,,,
86,"Gorman, Martyn L. ""The diet of feral Herpestes auropunctatus (Carnivora: Viverridae) in the Fijian Islands.""·Journal of Zoology·175.2 (1975): 273-278.",178.1144,-17.8048,GoogleMaps,,,,,,,,
87,"Lewis, Delano S., Rick van Veen, and Byron S. Wilson. ""Conservation implications of small Indian mongoose (Herpestes auropunctatus) predation in a hotspot within a hotspot: the Hellshire Hills, Jamaica.""·Biological invasions13.1 (2011): 25-33.",-76.9469,17.8941,GoogleMaps,,,,,,,,
88,"Baldwin, P. H., Schwartz, C. W., & Schwartz, E. R. (1952). Life history and economic status of the mongoose in Hawaii.·Journal of Mammalogy,·33(3), 335-356.",-156.9763,21.118,GoogleMaps,,,,,,,,
89,"HUSSAIN, R., MAHMOOD, T., AKRIM, F., FATIMA, H., & NADEEM, M. S. (2017). Human activity mediates reciprocal distribution and niche separationof two sympatric mongoose species on the Pothwar Plateau, Pakistan.·Turkish Journal of Zoology,·41(6), 1045-1058.",73,33.04166667,Reported,72 - 74'E,32.5 - 34'N,Bad range map.,,,,,
94,"Mahmood, T., & Adil, A. (2017). Diet composition of small Indian mongoose (Herpestes javanicus) varies seasonally in its native range.·Animal Biology,·67(1), 69-80.",74.44776667,32.48068333,Reported,074∞ 39?.301 E,32∞ 15?.971 N,Bad range map.,,,,,
95,"Mahmood, T., & Adil, A. (2017). Diet composition of small Indian mongoose (Herpestes javanicus) varies seasonally in its native range.·Animal Biology,·67(1), 69-80.",74.39103333,32.34808333,Reported,074∞ 26'.866 E,32∞ 28'.841 N,Bad range map.,,,,,
96,"Mahmood, T., & Adil, A. (2017). Diet composition of small Indian mongoose (Herpestes javanicus) varies seasonally in its native range.·Animal Biology,·67(1), 69-80.",74.34336667,32.47375,Reported,074∞ 20?.602 E,32∞ 28?.425 N,Bad range map.,,,,,
97,"Mahmood, T., & Adil, A. (2017). Diet composition of small Indian mongoose (Herpestes javanicus) varies seasonally in its native range.·Animal Biology,·67(1), 69-80.",74.65501667,32.26618333,Reported,074∞ 23'.462 E,32∞ 20'.885 N,Bad range map.,,,,,
98,"Mahmood, T., Hussain, I., & Nadeem, M. S. (2011). Population estimates, habitat preference and the diet of small Indian mongoose (Herpestes javanicus) in Potohar Plateau, Pakistan.·Pakistan J. Zool,·43(1), 103-111.",73.13861111,33.34583334,Reported,"073∞02'178""E","33∞08'681""N",Bad range map.,,,,,
99,"Mahmood, T., Hussain, I., & Nadeem, M. S. (2011). Population estimates, habitat preference and the diet of small Indian mongoose (Herpestes javanicus) in Potohar Plateau, Pakistan.·Pakistan J. Zool,·43(1), 103-111.",73.33138889,33.30652778,Reported,"073∞00'700""E","33∞06'969""N",Bad range map.,,,,,
100,"Alam, M. Shamshad, and Jamal A. Khan. ""Food habits of striped hyena (Hyaena hyaena) in a semi-arid conservation area of India.""·Journal of Arid Land·7.6 (2015): 860-866.",71.04166667,21.25,Reported,70∞50'ñ71∞15'E,20∞40'ñ21∞50'N,Just on outside of range.,,,,,
101,"Migliorini, Raissa Prior, et al. ""Trophic ecology of sympatric small cats in the Brazilian Pampa.""†PloS one†13.7 (2018): e0201257.",-53.314731,-29.611556,GoogleMaps,,,,,,,,
102,"Novaro, A.J., Funes, M.C., Walker, R.S., 2000a. Ecological extinction of native prey of a carnivore assemblage in Argentine Patagonia. Biological Conservation 92, 25˚33.",-71,-40,Reported,71'W,40?S,Just on outside of range.,,,,,
103,"Walker, R. Susan, et al. ""Diets of three species of Andean carnivores in high-altitude deserts of Argentina.""·Journal of Mammalogy·88.2 (2007): 519-525.",0,25.9,Reported,Unreported,22.3 - 29.5'S,,,,NA,-25.9,
